ze,ratio_sarima_log,map_sarima_log,rmse_sarima_log,map_lstm_vanilla,mse_lstm_vanilla,rmse_lstm_vanilla,ratio_lstm_vanilla,map_lstm_bidirectionnal,mse_lstm_bidirectionnal,rmse_lstm_bidirectionnal,ratio_lstm_bidirectionnal,map_gru,mse_gru,rmse_gru,ratio_gru,map_lstm_stacked,mse_lstm_stacked,rmse_lstm_stacked,ratio_lstm_stacked
Seine-Yvelinoise,1.04416373945076,0.0772639127283673,0.5490005120209743,0.1117740845312664,0.4966658465735578,0.7047452352258635,1.0430208714611475,0.1085660890516949,0.4776434651216532,0.6911175479769366,1.0367538338922726,0.1087962651716151,0.4783386709167555,0.691620322804901,1.051961598990754,0.1026387030613058,0.4884581491266489,0.69889781021738,0.9946677854531292
Versailles-Saint-Quentin,1.052494403549965,0.0818213358165975,0.5540138493287649,0.1047248097558155,0.4993727091865939,0.7066630803902195,1.040520217006777,0.1024551956764327,0.482310598720602,0.6944858520665501,1.0351232295069377,0.1011528476820364,0.4904039987136044,0.7002885110535546,1.0357170614694813,0.110062114668033,0.7080229333159208,0.8414409862348761,0.914279667301055
Cergy-Vexin,1.0310976928951896,0.0725786012011961,0.4849608511632262,0.1126421586902891,0.4582620097821944,0.6769505224033692,1.0688224202921126,0.1058500980900524,0.4417727375639834,0.6646598660698443,1.0414216258062572,0.1072088669506007,0.4506175804736138,0.671280552730089,1.0417629650248446,0.0964224392074507,0.4907405958169887,0.7005287972788762,0.9402071147013864
Evry,1.0560617895979003,0.1356492810005539,1.325128113855279,0.1158340134149201,1.6771656747854555,1.295054313450002,0.9881541635782966,0.1231804696598558,1.6915427698005523,1.3005932376421738,1.0140782186583115,0.116280249764121,1.706444710557691,1.3063095768452786,0.989730690759206,0.118260898365928,1.7192928178158116,1.3112180664617965,0.9905670866261508
Saclay,0.994989688789261,0.1089810625174427,1.5299091354368242,0.1214259126750063,2.053804597714739,1.4331101136042337,1.0090752155979927,0.1298032029645273,2.1394744547331626,1.4626942451288862,1.0214504227279866,0.1224271778578624,2.08324750481938,1.443345940798456,1.0095055544968827,0.1665379181600475,4.487052458698618,2.118266380486321,0.9691970932745628
Marne-la-Vallée,0.9394385918696924,0.1117051757194676,1.4146973504061608,0.1231896147699991,1.6907050962731671,1.300271162593852,0.982966941139924,0.1197708559478716,1.5746196715111107,1.2548385041554593,1.0005404708645402,0.1287165367424884,1.7317562557078376,1.31596210268679,0.9985325661066972,0.1459422593574238,3.117657066791115,1.7656888363443644,0.945878873084412
Fontainebleau-Nemours,1.1195738495205596,0.1492211736726329,1.2587268142837698,0.1060682475384413,1.0421302680415916,1.0208478182577418,1.0202446034813557,0.1106267868001419,0.9887104598890708,0.9943392076595746,1.0223156907642652,0.1082077128036872,1.118089279743276,1.0573974086138456,1.0231292087530877,0.1088531070857093,1.1303256688952636,1.06316775200119,1.0229684209120846
Meaux,0.9594445803043468,0.167964600110957,2.25388435139856,0.172953351738746,4.852183558947721,2.202767250289445,0.9549471229518603,0.1773377473570024,3.8946104981399774,1.9734767538889275,1.013047778328865,0.1783068991108972,4.087588386843708,2.021778520719742,1.0046303555430462,0.1765065377733765,4.057811025359197,2.0144009097891105,1.0066695861235595
Melun,1.0678973383678778,0.1488384207844902,1.069226425797163,0.1424875673403832,1.2013167705367047,1.096045970996064,1.0426451142550055,0.1468801896216287,1.1512098910794617,1.0729444958055665,1.042140667942485,0.1429381645744398,1.1811933423289651,1.0868271906466849,1.0429649358915187,0.143903787084252,1.2254803686653326,1.1070141682315238,1.0438355200713214
Etampes,0.922843170693418,0.1735344667748454,2.3191954071031624,0.1774537760512576,4.753049441433651,2.180148949368747,1.005947536202194,0.1694961627036745,4.215488115952384,2.05316538933238,1.010082140950899,0.1765231953497165,4.652225681735296,2.1569018711418693,1.0081164589294571,0.1818187756712296,4.664715905047291,2.159795338694685,1.0134977205387
Rambouillet,0.9038939327628264,0.1582852162989143,1.3441751304703544,0.1484108024333485,1.4745811269696163,1.2143233206068376,0.9785759378091008,0.1446643715141226,1.3988816342391048,1.182743266410384,0.9843579916946285,0.1470214642777777,1.4373825358926924,1.1989088939084125,0.980552453646811,0.147525633660653,1.4806057946696722,1.2168014606622035,0.9698327824128116
Coulommiers,0.869346922591451,0.230215909526649,2.915064806019809,0.2022248496731637,5.8379762820804,2.4161904482222423,0.9899928932170984,0.2055986738640629,5.840978503628405,2.4168116400804607,0.9997334785094428,0.2007820948788942,5.770124043098435,2.4021082496628736,0.9924500751662098,0.2148103938540997,7.258759345568737,2.694208482201913,0.935411133133522
